職缺,公司,薪資,經歷年資,工作內容,條件要求,工具要求,產業別,經歷年資2
智能卡軟體工程師,虹堡科技股份有限公司,23100.0,經歷不拘,"1. Native COS/application developing and testing 
2. Java card applet developing and testing 
3. Design document and user manual writing 
4. Smart card utility and testing tool developing 
5. Take charge of assigned matters",未填寫, C C++ Java,電腦及其週邊設備製造業,0.0
智能停車業務開發主任,歐特儀股份有限公司,30000.0,2年以上,"1.	負責智能停車場業務開發.
2.	針對車位共享計畫與電動汽機車服務提出智慧化應用方案, 業務管理.
3.	銷售與簽約流程管理, 履約與營運管理.
4.	品牌管理, 行銷方案設計與執行, 加值服務規劃, 創新營收規劃.
5.     其他主管交代事項.","具備能力: 業務開發, 行銷執行, 專案管理懂日文尤佳", Excel PowerPoint Visio Word 行銷製作物規劃與執行 品牌行銷管理 提案與簡報技巧 行銷策略擬定 產品開發預算與成本控管 業務或通路開發 業績與管理報表撰寫,停車場業,2.0
智能化軟體開發工程師,車王電子股份有限公司,30000.0,1年以上,"1.負責設備之機台資料收集、作業防呆與資料分析等所需之相關系統開發
2.設備資料串接相關程式開發、整合及維護
3.IoT感知器智慧聯網規劃與整合
4.協助智動化系統評估與規劃",1.略懂 Linux環境程式開發或層參與相關專案2.熟悉開發語言工具C/C++/VB/Python其中之一3.瞭解SQL語法與基本資料庫連線4.可獨立或與團隊合作，工作態度積極、負責，能配合公司規定, Linux C C++ Visual Basic VBScript Outlook 產品生產製程規劃及工時估算 自動化設備／系統介面之維護改善 改善設備問題及功能提昇,其他電子零組件相關業,1.0
物流智能化企劃工程師,永聯物流開發股份有限公司,40000.0,3年以上,"1.物流作業流量及訂單模式分析
2.物流作業技術及流程合理化分析
3.作業功能區域及動線規劃
4.智能化技術選型及配置設計
5.人員配置及人機操作程序規劃
6.效益評估及投資報酬分析
",1.大學以上工業工程、工業管理、系統工程、資訊工程、資訊管理或相關科系畢業2.電腦系統專長：精熟Auto-CAD、熟WMS/WCS、具物流作業電腦模型建模經驗尤佳、Office3.具財務成本分析能力, VMS Windows 8 AutoCAD,其他不動產業,3.0
業務專員(智能領域),寶聯通綠能科技股份有限公司,30000.0,經歷不拘,"1. 開發客戶及經銷商，達成業績目標。
2. 客戶維繫及蒐集市場訊息，擬訂銷售策略。
3. 依客戶需求，完成硬體及軟體系統整合。
4. 擅於溝通、主動積極、熱情負責。
5. 有資訊服務業或系統整合業工作經驗者佳。",未填寫, Adobe Acrobat Excel Outlook PowerPoint Word,電腦及其週邊設備製造業,0.0
【馬上上班】上市智能系統公司徵智能機電工程師(正職),中勤人力資源管理顧問股份有限公司,32000.0,2年以上,"【我們需要】
1.大學以上電機、控制、通訊科系畢業
2.熟悉電力系統架構(單線圖)
3.對配電、配管工程現場監造、弱電工程(包含通訊)、廠務電機工程有經驗者
4.有弱電、監控系統規劃及設計經驗，熟悉機電整合
5.有工地現場經驗

【其他】
1.多益500分以上
2.完整受訓、外派大陸機會、升遷管道暢通。
3.上市公司具前景，歡迎有志青年
",未填寫,,人力仲介代徵,2.0
RPA智能商業開發工程師(總公司),新安東京海上產物保險股份有限公司,30000.0,經歷不拘,"1.具備VB/Java Script, MS SQL, Access, MySQL等電腦專長。
2.公司提供RPA Uipath軟體學習機會後，負責各部門人工作業導入RPA之評估。
3.對於可導入RPA (Robotic Process Automation)智能流程機器人之作業，負責Uipath 軟體開發。",未填寫,,產物保險業,0.0
智能平台專業人員- 金融產品規劃,國泰金控_國泰金融控股股份有限公司,40000.0,5年以上,"1.規劃數位平台創新投資方式與投資產品，含產業研究分析、業務邏輯與流程設計，完整產品線與數位投資服務，提升平台競爭力。
2.配合發展方向開發業務商機，擬定策略企劃案。
3.提供具體優化建議，與平台開發人員密切合作，執行開發進度追蹤、系統測試等。",1.5年以上金融相關產業(如銀行、資產管理、投信、投顧等領域)工作經驗，至少2年以上基金PM工作經驗。2.商學相關科系，財經科系尤佳。3.具數位產品專案合作經驗。4.對經營新種業務有極高的熱忱，具抗壓性、獨立作業與跨部門溝通協調能力。5.具備簡報企劃與提案能力。,,金融控股業,5.0
供應鏈智能化IT儲備人才,永聯物流開發股份有限公司,30000.0,經歷不拘,"參與物流4.0的大未來，創造智能化物流新價值

將協助團隊進行物流共和國(Logistic Republic)智能化物流的資訊科技串接工作
參與智能化物流建置、導入與實施，在不同階段與團隊專業人員合作
1.設計: 智能物流系統軟體設計規劃與評估
2.實施: 智能物流系統軟體整合開發、安裝與調試
3.維護: 智能物流系統軟體營運維護、保修管理
同時協助部門溝通協調與行政作業 

*關於待遇: 我們重視人才的價值而非價格，歡迎不自我設限，能展現價值的人。",特質:  好奇心、創新思維、問題解決、樂於學習科系: 工程、管理、供應鏈相關,,其他不動產業,0.0
系統整合工程師-智能商店,Advantech_研華股份有限公司,40000.0,經歷不拘,"1.協助客戶建置智能商店系統，安裝硬體與軟體
2.整合系統驗證測試與解決技術問題
3.提供系統建置技術諮詢與技術培訓
4.推廣智能商店產品，協助客戶IOT應用整合需求
","1.電子電機, 自動控制或資工相關科系畢業2.具電腦軟體與硬體，自動控制，與網路知識背景3.熟悉C程式語言編寫4.對於客戶服務有高度熱忱",,電腦系統整合服務業,0.0
【智能電腦產品企劃部】Solution Product Manager,艾訊股份有限公司,40000.0,3年以上,"1. Product Management
- Product roadmap planning.
- Competitor analysis.
- Market trend analysis.
- New technique introduction.
- Product pricing strategy and cost control.
- Product training to sales.
- Domain knowledge in supply chain and partner.
2. Project Management
- Project development control and management.
- Project stage documentation process.
- Sales fulfillment and support.
- RFQ/RFP process.
3. Product Marketing
- Documentation of sales kit and user manual writing.
- Product commercialization promotion.
- Co-work with Marcom to promote products.
- Go to market with sales, promote product. and solutions.
- Attend seminar, roadshow and events for product promotion.

＊彈性工作時間，薪優福利佳，並備有新店/中和線交通車＊","- Education in university graduated with engineering degree is a MUST.- Experienced Software PM and familiar with Gateway architecture is a plus.- Consumer electronic/ IPC products PM experience is a plus.- Domain knowledge of vertical applications in Industrial IoT Gateway is a plus.- Sensitive to market trend and new technology.- Excellent teamwork, interdepartmental communication skill and able to handle multitasking.- Proficient speaking, reading and writing in English.- An aggressive, passion and active personality.", Excel PowerPoint Word,電腦及其週邊設備製造業,3.0
集團 智能技術研發工程師,捷安特 YouBike_巨大機械工業股份有限公司,40000.0,經歷不拘,"本職務隸屬於尖端技術開發部門, 負責新材料, 新技術及新工法的研發, 進行測試與實作; 隨著工業4.0的引進, 我們的部門也肩負起製造技術轉型的重任, 研發自行車生產智能化自動控制的設備, 研發範圍包括:
1. 機械手臂程式語言
2. 機械人/車
3. 影像辨識技術及軟體
4. 人工智慧

我們在尋找有實驗精神及喜歡自己動手做的人, 歡迎對自行車有興趣的人才加入我們的行列!!","1. 擅長工具: 程式語言(C++, C#等), 視覺軟體(Halcon, OpenCV等), 機械手臂語言2. 擅長技能: (3D)視覺, 力覺, 機械手臂整合, 人工智能3. 在校曾參與過機器人專案或競賽 4. 工廠開發或研發智能自動化產線或技術經驗#TW1", C# C++ Python,自行車及其零件製造業,0.0
業務助理(智能系統整合處),寶聯通綠能科技股份有限公司,25000.0,經歷不拘,"1. 負責文件、資料處理及歸檔工作。
2. 負責訂單、出貨單及相關文件製作。
3. 各項費用單據及核銷作業。
4. 其他庶務及交辦事項。
5. 認真、細心、負責、耐心，且能獨力完成作業。
",未填寫,,電腦及其週邊設備製造業,0.0
研發類-智能工廠IE工程師(CIMO),中強光電股份有限公司,40000.0,5年以上,"1.職務說明:
協助建立具有適應性、資源效率、及人因工程學的智慧工廠生產流程及設備自動化
2.主要任務
A.協助產線自動化系統的推展
B.研究生產過程中有關設備使用時間、運轉、方法和速度的問題，以建立標準的生產率和提升效能。
C.規劃生產程序，以使工作路徑最短，物料搬運最少，產品品質最優，生產效率最高。",未填寫,,光電產業,5.0
海外事業部主管(億光智能科技),億光電子工業股份有限公司,40000.0,5年以上,"1.海外市場的開拓(包含直接客戶以及代理商之開發) 、管理及銷售策略的制定。
2.具備獨立開發國外市場及業務銷售策略規劃之能力。
3.督導海外各區域業績進度管控,達成業績目標。
4.提高公司產品市場佔有率。",1.具流利之英語溝通能力2.LED產業有實際業務經驗者佳3.具5年以上工作經驗並有海外業務、國際貿易或專案管理相關經驗尤佳 4.具智慧城市與物聯網相關經驗尤佳,,光電產業,5.0
智能自動化生產主管 (重慶),Inventec_英業達股份有限公司,40000.0,8年以上,"1、  主導自動化/智慧化的設計與開發的統籌管理；必須具備各種自動化,光學, 視覺的軟體能力
2、  負責整合電子、機械、上位機, 電控、氣控、IOT接收等管理；
3、  負責協助公司智慧工廠的全面推進與設備設計, 導入與技術問題解決。",NA,,電腦及其週邊設備製造業,8.0
61560-智能通訊軟體工程師(Android),QNAP_威聯通科技股份有限公司,40000.0,2年以上,"竭誠歡迎對開發AI個人助理服務和終端設備有興趣的夥伴加入我們！

如果您對開發自然語音互動、影像辨識應用、智能周邊控制、即時視訊通訊與雲端服務整合等技術有熱情，希望可以做出一台親切有趣又能協助人們解決問題的AI機器人，那您就是我們想要的夥伴。

我們希望能透過QNAP多年軟硬整合的經驗，打造一個具備智能與通訊的終端平台，支持各個領域的合作夥伴，將智能與通訊普及到生活與工作的場域。智能技術在今日才剛開始起步，我們認為只有長期投資與培養研發團隊，以及持續推出產品面對用戶，才能累積不可取代的關鍵能力。我們已經推出第一代產品 AfoBot (https://afobot.qnap.com) ，得到許多正面的回饋，也匯集許多商務與技術的合作夥伴，正在積極招募以擴大團隊。

您將會參與開發以 Google WebRTC 技術為核心的團隊，為 AfoBot 提供最先進的視訊音訊溝通服務，並發展完整的 Platform-as-a-service 視訊音訊溝通平台。您也需協助技術研究與發展，導入新技術或工具，或是提昇團隊生產力。

您需具備軟體開發的經驗與熱忱，並需具備下列能力與特質：
1. Android 應用程式的開發能力
2. 熟悉雲端整合開發模式
3. 具備軟體開發與專案工具如Git、Trello、Bugzilla經驗
4. 熟悉 FCM 或其它推播服務者佳
5. 熟悉 Google Play 上架流程及上架後錯誤回報機制者佳
6. 熟悉 WebRTC 架構者佳
7. 熟悉影像或音訊處理者佳
8. 熟悉串流技術者佳
9. 具有PaaS/SDK平台化經驗者佳
10. 參與過敏捷式開發(如Scrum或Kanban)經驗者佳，對持續整合工具(如Jenkins)有經驗者佳
11. 具備良好的溝通能力與團隊合作精神，且願意投注心力於開發優質產品
12. 能獨立作業且具良好的問題解決能力，且對新事物抱持積極的學習態度者",未填寫, Linux Android Java Bugzilla,電腦軟體服務業,2.0
61560-智能通訊雲端工程師,QNAP_威聯通科技股份有限公司,40000.0,2年以上,"竭誠歡迎對開發AI個人助理服務和終端設備有興趣的夥伴加入我們！

如果您對開發自然語音互動、影像辨識應用、智能周邊控制、即時視訊通訊與雲端服務整合等技術有熱情，希望可以做出一台親切有趣又能協助人們解決問題的AI機器人，那您就是我們想要的夥伴。

我們希望能透過QNAP多年軟硬整合的經驗，打造一個具備智能與通訊的終端平台，支持各個領域的合作夥伴，將智能與通訊普及到生活與工作的場域。智能技術在今日才剛開始起步，我們認為只有長期投資與培養研發團隊，以及持續推出產品面對用戶，才能累積不可取代的關鍵能力。我們已經推出第一代產品 AfoBot (https://afobot.qnap.com) ，得到許多正面的回饋，也匯集許多商務與技術的合作夥伴，正在積極招募以擴大團隊。

您將會參與開發以 Google WebRTC 技術為核心的團隊，為 AfoBot 提供最先進的視訊音訊溝通服務，並發展完整的 Platform-as-a-service 視訊音訊溝通平台。您也需協助技術研究與發展，導入新技術或工具，或是提昇團隊生產力。

您需具備軟體開發的經驗與熱忱，並需具備下列能力與特質：
1. RESTful 雲端服務的開發能力
2. 熟悉 AWS 或 GCE 的使用
3. 具備軟體開發與專案工具如Git、Trello、Bugzilla經驗
4. 熟悉 Go 語言者佳
5. 熟悉 AWS 或 GCE autoscaling 機制者佳
6. 熟悉 WebRTC 架構者佳
7. 熟悉影像或音訊處理者佳
8. 熟悉串流技術者佳
9. 具有PaaS平台化經驗者佳
10. 參與過敏捷式開發(如Scrum或Kanban)經驗者佳，對持續整合工具(如Jenkins)有經驗者佳
11. 具備良好的溝通能力與團隊合作精神，且願意投注心力於開發優質產品
12. 能獨立作業且具良好的問題解決能力，且對新事物抱持積極的學習態度者",未填寫, Linux Bugzilla,電腦軟體服務業,2.0
【智能零售研發部】機構資深工程師,艾訊股份有限公司,40000.0,6年以上,"1. 系統產品Mechanical Design
2. Thermal design基本設計分析
3. 能獨立完成專案評估、設計、發包生產能力
4. 具ID設計經驗為佳","1. 熟AutoCad、ProE、SolidWorks繪圖軟體2. 熟悉塑膠射出、金屬成形、表面處理等各種生產製程, 熟悉模具製程與產品設計手法", AutoCAD Pro/E SolidWorks,電腦及其週邊設備製造業,6.0
【智能製造發展部】軟體研發工程師,艾訊股份有限公司,40000.0,2年以上,"1. 資料庫(MS SQL, Oracle)資料庫系統應用程式開發
2. 各平台資料庫資料整合
3. 製造執行系統程式開發與測試
4. 自動化測試設備與製造執行系統資料系統整合

＊彈性工作時間，薪優福利佳，並備有新店/中和線交通車＊","1. 擅SQL語法，DB資料庫(SQL, Oracle).NET程式設計2. 邏輯能力強，具耐心及服務的精神3. 開發過相關的MES（製造執行系統）專案尤佳 持有經濟部能力鑑定(iPAS)證書者優先面試! SPE", ASP.NET MS SQL Oracle ERP,電腦及其週邊設備製造業,2.0
工業物聯網-智能感知產品部主管 ,Advantech_研華股份有限公司,40000.0,10年以上,"1.部門管理
2.產品開發流程
3.產品成本控制及報價
4.產品行銷計畫
5.業務及客戶溝通協調事宜
6.工廠溝通協調進行

",1. 學歷：大學(含)以上，電機、電子、資訊、機械、企業管理、工業工程管理等相關科系2. 十年以上工作經驗，從事產品開發或產品管理達七年以上3. 三年以上工業物聯網市場工作經驗，從事產品規劃或海外業務行銷經驗4. 具產品創新能力及專案管理能力5. 溝通協調能力佳、良好的執行能力、個性穩重6. 負責產品可行性評估、規劃、設計、推廣、協調、跨部門溝通7. 負責通路推廣，統籌產品行銷計劃、業務及客戶溝通協調,,電腦系統整合服務業,1.0
智能產品開發中心  專案經理,台灣立訊精密有限公司,40000.0,4年以上,"1.新產品設計開發項目進度管理，從產品設計開發管理與試產到產品進入量產
2.跨部門協調各研發單位推動專案
3.新產品開發之產品規格/時程/成本之掌控
4.幫忙定期與關鍵零組件廠商保持互動，掌握最新產業動態
5.幫忙供應商與工廠管理，以確保產品最大競爭力

","1.具有三年以上3C產品相關開發經驗(ex: 耳機、藍芽喇叭、物聯網等),對新資訊及科技，及專案管理有熱誠者為優先人選2.具有技術背景者為優先人選3.具有英語能力簡報能力與會議主持能力4.主動,積極,樂觀進取,具有工作熱誠5.具有溝通協調之能力,抗壓性強,可獨立作業,並可配合出差6.有PMP執照尤佳", Excel PowerPoint Word 專案管理軟體操作,其他電子零組件相關業,4.0
【2018新幹班】01.人工智能類,鴻海精密工業股份有限公司,40000.0,經歷不拘,"1.熟悉R/Spark/Hadoop等資料庫開發基礎，進行資料分析與預測模型建立
2.運用機器學習/深度學習/類神經網路等演算法基礎，開發人工智能應用
3.運用語音辨識/語意辨識/語音信號處理，開發機器互動學習相關應用",NA,,消費性電子產品製造業,0.0
智能製造及智慧化管理工程師,福壽實業股份有限公司,40000.0,3年以上,"1. 物聯網(ITO)製造結構資料數據系統規劃與專案管理。
2. 大數據(Big Data)資料庫建立規劃及合作供應商開發。
3. 企業數位轉型之底層平台運算及人工智慧(AI)模組SASD。
4. 現有公司資訊系統擴充至分散/移動功能平台之推動發展。
5. 培育公司未來數位營運 (AI/Big Data/Automation/Shopflow Data Process Controll)人才資源。 ",1. 有3年製造業IT系統/資財管理/行銷物流/自動化實務經驗。2. 曾經工作於智慧工廠、大數據分析、雲端運算、製成監控、相關諮詢/技術開發/顧問/供應商經驗尤佳。3. 善於溝通協調、能負責專案/合作案管理。,,其他食品製造業,3.0
IoT智能車產品規劃師(總管理處),裕隆集團總管理處_裕隆經管企業股份有限公司,40000.0,3年以上,"1.智能車、車聯網之商品規劃與管理
2.智能車、車聯網之市場及產業分析
3.車輛政策/法規/技術等趨勢分析規劃",學歷：碩士以上，電機電子科系尤佳年資：3年以上英文：多益成績650以上 其他: 1.市場分析及產業分析專業知識且有規劃工作經驗尤佳2.對智能車、車聯網熟悉者尤佳3.具3C、IoT規劃經驗尤佳,,工商顧問服務業,3.0
商業智能分析師(BI)(竹科),晶元光電股份有限公司(晶電),34000.0,1年以上,"1.專案需求訪談、系統分析並製作系統需求規格書文件
2.BI 系統設計及架構規劃
3.BI 應用程式設計與開發
4.DW設計、ETL程式設計、Dashboard/Report設計
","1.熟IBM Cognos BI、Tableau、SSIS、C#、PDI (Pentaho Data Integration)2.熟資料庫(Oracle, MS SQL, Greenplum )設計,資料設計,模組化設計3.具TM1開發經驗尤佳",,光電產業,1.0
雲端智能整合開發工程師（C#）,動力安全資訊股份有限公司,28000.0,經歷不拘,"1.客製化資安設備以及需求分析與設計
2.微軟雲端資安產品
3.微軟目錄伺服器整合
4.Windows Azure Service 開發",未填寫, ASP.NET C# Visual C# Visual Studio .net MS SQL Microsoft SharePoint HTML jQuery,電腦系統整合服務業,0.0
61560-雲端智能測試工程師(台北),QNAP_威聯通科技股份有限公司,40000.0,2年以上,"竭誠歡迎對開發AI個人助理服務和終端設備有興趣的夥伴加入我們！ 

如果您對開發自然語音互動、影像辨識應用、智能周邊控制、即時視訊通訊與雲端服務整合等技術有熱情，希望可以做出一台親切有趣又能協助人們解決問題的AI機器人，那您就是我們想要的夥伴。 

您將協助測試AI機器人的後端平台與使用者介面(包括iOS與Android APP)，執行功能性、效能性、可靠性與可用性等測試，包含初期的手動測試與後期開發自動化測試程式。您將參與完整的專案開發週期，包含關鍵軟體模組技術驗證、規格設計、整合測試、維運監控與數據分析。您需掌握產品的規格與技術，能夠重現與分析問題，以及瞭解客戶應用情境與提昇團隊技術支援的能力。 

您需具備軟體測試的經驗與熱忱，並需具備下列能力與特質： 
1. 具備擬定軟體測試計畫與設計測試項目經驗 
2. 具備Android或iOS應用軟體測試經驗 
3. 具備TCP/IP網路與HTTP API基本知識與偵錯能力 
4. 具備網路監控、視訊通訊或多媒體串流產品測試經驗者佳 
5. 對物聯網、數位看板、無人商店或機器人有經驗者佳 
6. 對語音辨識或對話機器人(ChatBot)有經驗或有興趣學習者佳 
7. 具備自動化測試(如Appium)經驗或有興趣學習者佳 
8. 具撰寫自動化測試腳本(如Shell Scripts或Python)經驗者佳 
9. 對測試管理工具如TestLink、Bugzilla、Trello、Jira有經驗者佳 
10. 參與過敏捷式軟體開發團隊(如Scrum或Kanban)者佳 
11. 具備良好的溝通能力與團隊合作精神，且願意投注心力於開發優質產品 
12. 能獨立作業且具良好的問題解決能力，且對新事物抱持積極的學習態度者 
13. 能主動研究產品相關技術與應用以持續強化測試項目者佳",未填寫, Android iOS,電腦軟體服務業,2.0
智能汽車應用事業部-中國大陸業務,光寶科技股份有限公司,40000.0,5年以上,"1. 推廣汽車電子產品給中國大陸車廠
2. 維繫與建立和中國大陸車廠的關係",1.具備與中國大陸車廠3年以上業務經驗或與特定車廠有人脈/ 管道者2.能常駐中國大陸工作,,消費性電子產品製造業,5.0
RD主管(台南燦坤先端智能研究所),燦星網通股份有限公司,40000.0,10年以上,"具有大小家電設計與開發的經驗10年以上, 高階管理經驗5年以上 
• 工程機械學士學位以上 
• 在確定期限和範圍內與設計團隊合作開發解決方案 
• 參與製定對關鍵問題的行動計劃和解決方案 
工作範圍: 
1.擬定及落實RD部門與品管年度策略執行計畫與目標。 
2.指導、檢閱並負責產品設計與變更的認可。 
3.分析技術、資源成本與市場需要，以評估計畫可行性。 
4.研發流程與生產流程之持續改善與提升。 
5.分派、指導、評估員工的工作並監督與提升員工的工作效能",NA,,家庭電器／設備及用品零售業,1.0
業務專員(億光智能科技),億光電子工業股份有限公司,37000.0,3年以上,"1.提供規格、報價、樣品及品質相關產品資訊，以滿足客戶需求
2.至施工現場評估適合燈具，達成客戶要求之燈具安裝效果
3.積極維持客情關係，開發具潛力的新客戶 
4.蒐集LED照明相關市場資訊，並提出市場策略。。","1.具備照明產品工程專案承接業務2.主動積極性強,能獨立作業抗壓性高,完成業績目標3.含1年以上相關產業經驗尤佳",,光電產業,3.0
智能設備機構設計工程師(台南),群創光電股份有限公司,38000.0,經歷不拘,"1. 先進製程設備開發(特殊或新製程設備)
2. 工業4.0設備開發(具工業4.0特色之自動化設備)",NA,,光電產業,0.0
無線充電PM(智能IoT產品),佳邦科技股份有限公司,40000.0,3年以上,"1.WPC無線充電市場開發
2.生意領導與產品開發 
3.產品藍圖發展與創新規劃
4.產品線的盈虧分析與管理
5.關鍵技術與策略夥伴開發與規劃
6.熟悉無線充電市場應用&動向
",未填寫,,消費性電子產品製造業,3.0
寧波廠_智能專案高級工程師,晟銘電子科技股份有限公司,40000.0,3年以上,"1.負責軟體之分析、設計以及程式撰寫。
2.規劃執行軟體架構及模組之設計，並控管軟體設計進度。
3.開發資訊系統。
4.協助研發軟體新技術與新工具。
5.規劃及執行產品控制單元設計。
6.規劃執行產品韌體之撰寫，並維護量產產品。
7.執行、協助或配合韌體新技術之研發、導入。
8.處理線上客訴問題
9. 負責廠區中有關工業4.0/工廠智能自動化之相關軟韌(機光電)技術之實作與規劃撰寫
","1.能撰寫程式2.溝通能力強3.協調能力佳4.問題分析邏輯清楚5.具工廠生產管理知識經驗尤佳6. 勇於承擔責任,能主動積極處理問題7. 能獨立作業,具合作協調能力,善於溝通8. 熱情肯學, 具備團隊合作精神", Java Visual Basic Visual C#,電腦及其週邊設備製造業,3.0
智能平台專業人員 內容行銷,國泰金控_國泰金融控股股份有限公司,40000.0,5年以上,"1. 規劃並執行各數位、實體通路之內容素材產出，包含文章、影音、圖像等。
2. 創造與維持社群上互動，增加品牌知名度與聲量。
3. 產生洞察與分析報告。",1. 擅長圖文編輯、影音剪輯製作尤佳，有豐富想像力與故事行銷能力2. 熟悉各類社群媒體不同屬性，擅長議題操作能力(Facebook/Instagram/YouTube/PTT/LINE/微博/抖音)3. 熟悉時下熱門議題，且具創新思考與創造網路聲量與網路流量增長能力4. 具獨立作業能力，且對於所規劃的專案具備高度執行能力。5. 能適應高度變化的工作環境，並具備跨部門的溝通協調能力。6. 對於經營新產品服務有極高的熱忱，相信自己能在大公司內實現改變。7. 具有投資經驗尤佳。,,金融控股業,5.0
[英文]智能客服知識顧問,碩網資訊股份有限公司,35000.0,經歷不拘,"1. 英文智能客服機器人的知識庫建置、編輯、測試與調校；
2. 追蹤分析User使用機器人的偏好習慣；
3. 審核外包翻譯品質，進行翻譯時程規劃與追蹤；
4. 配合專案需求整理相關英文文件。",1.多益730分以上或水準相等之英語證書，   流利中英文能力，尤其讀寫能力。2.自主把關產出品質。3.具備時間管控觀念。4.善溝通表達。, Excel 技術文件翻譯 TOEFL TOEIC GEPT中高級 GEPT高級,網際網路相關業,0.0
智能櫃台機(IA雲端)推廣業務員,知達工藝會館_知達開發股份有限公司,25000.0,經歷不拘,"1.推廣飯店櫃檯最新潮無人櫃台機(IA)及雲端運用系統
2.飯店前台系統推廣
3.飯店PMS相關服務
",需具備服務熱誠不畏挑戰 期望高薪肯學肯做的精神,,旅館業,0.0
飯店智能櫃台教育維護員,知達工藝會館_知達開發股份有限公司,25000.0,經歷不拘,"1.飯店智能櫃台按裝 教育 維護員
2.熟悉靈知櫃台作業系統(或2星期進入狀況)",需具備熱誠 肯虛心學習 全力以赴,,旅館業,0.0
美甲師 - 由甲智能美甲(中山店),YOJA由甲智能美甲_禧漾國際有限公司,23100.0,經歷不拘,"YOJA 由甲智能美甲 [誠徵美甲師·需經驗·]	
FB高人氣名店-粉絲頁 https://www.facebook.com/yojanails/

薪資待遇：
    ＊底薪+全勤獎金  
    ＊高抽成 
 	  	 	 	 
工作技能：
   ＊能提供手足保養、手足按摩、美甲修整、指甲藝術造型彩繪、凝膠指甲服務
   ＊能獨立操作並樂意分擔店務
   ＊需指導助理學徒美甲技能及標準化工作
 	 	 	
工作條件：
   ＊對色彩具美感及流行感, 願意參與品牌活動, 具親和力及工作熱忱
   ＊具團隊合作精神
   ＊抗壓能力好
   ＊工作態度積極認真
   ＊完成美甲全科班訓練並取得結業證書或具美甲相關證照者優先錄用 (請連同履歷表一起寄出)	
   ＊能配合業務需求支援其他分店

福利制度		  	 	 	 	 
   ＊勞保
   ＊健保
   ＊勞工退休金
   ＊月休8天
   ＊國定假日補休
   ＊勞基法特別休假   
   ＊教育訓練
   ＊三節禮金
   ＊公司產品優惠價
   ＊員工聚餐
	 	 	 
上班地點：
   ＊中山店：台北市中山北路二段22號2樓 (近捷運中山站)
   ＊士林站：台北市文林路404巷9號4樓 (近捷運士林站)
   ＊民權站：台北市民權西路48號7樓-1 (近捷運民權西路站) 
 	 
	 	 	 
本公司提供舒適環境, 人性化管理, 採用高品質器材及產品, 使用醫療級高壓消毒美甲工具供客人一人一套使用, 個人拋棄式器具及一次性拖鞋等照顧客人的健康; 並以頂級服務品質為顧客提供最優質的服務並為美甲師創造更好的業績！我們非常期待你的加入喔！",,,美容／美體業,0.0
智能設備解決方案_FAE應用工程師,易發精機股份有限公司,40000.0,經歷不拘,"1. 協助業務拜訪客戶進行Presales 
2.提供產品/解決方案Demo
3.提供產品技術服務與問題排除 
4.客戶應用技術問題諮詢 
5.協助客戶的需求規劃及提供客製化整合服務 
6.協助客戶及業務溝通產品部間的相關技術問題 
7. 能獨立作業解決客戶產品導入測試上的問題
",NA,,自動控制相關業,0.0
*獵才*【知名電子大廠 】智能製造規劃-31,汎亞人力資源管理顧問有限公司,40000.0,10年以上,1.自動化前瞻技術開發應用與部門營運管理,1.熟悉全廠自動化輸出經驗               2.具自動化能力並了解從頭到尾及規劃能力     3.具Sales/PM經驗,,人力仲介代徵,1.0
61500-雲端智能應用支援工程師(台北),QNAP_威聯通科技股份有限公司,40000.0,3年以上,"竭誠歡迎對開發AI個人助理服務和終端設備有興趣的夥伴加入我們！

如果您對開發自然語音互動、影像辨識應用、智能周邊控制、即時視訊通訊與雲端服務整合等技術有熱情，希望可以做出一台親切有趣又能協助人們解決問題的AI機器人，那您就是我們想要的夥伴。

您將協助合作夥伴與客戶開發各種AI助理的應用，提供產品使用與軟體開發的技術諮詢，並瞭解終端用戶、二次開發客戶與應用場域的需求。
需要協助定義智能應用的平台與SDK規格，並與軟體團隊以及產品經理合作，製作相關平台推展文件、樣板程式碼與開發工具。

您需具備軟體產品技術支援的經驗與熱忱，並需具備下列能力與特質：
[必須經驗]
1. 撰寫、或者協助撰寫給開發者的技術文件，以及對開發者或客戶的簡報經驗
2. 理解Android軟體架構、具備測試與偵錯能力
3. 理解TCP/IP網路與HTTP API基本知識與偵錯能力
[額外加分]
1. 具備網路監控、視訊通訊或多媒體串流產品經驗者佳
2. 對物聯網、數位看板、無人商店或機器人有經驗者佳
3. 對語音辨識或對話機器人(ChatBot)有經驗或有興趣學習者佳
4. 具平台或軟體元件類型產品經驗者或具制定SDK經驗者佳
5. 具備嵌入式系統開發與 Android Framework 經驗者佳
6. 具備iOS應用軟體開發基礎或有興趣學習者佳
7. 對技術行銷、客戶管理與業務開發有興趣者佳
8. 具備良好的溝通能力與團隊合作精神，且願意投注心力於客戶關懷
9. 能獨立作業且具良好的問題解決能力，且對新事物抱持積極的學習態度、能主動研究產品相關技術者佳",相關經歷3~8年尤佳, Android iOS HTTP TCP/IP,電腦軟體服務業,3.0
