職缺,公司,薪資,經歷年資,工作內容,條件要求,工具要求,產業別,經歷年資2
【資訊工程類】大數據平台工程師++熟悉Spark、Mongo DB、Hadoop++,欣興電子股份有限公司,32000.0,1年以上,"【工作內容】
1.評估與規劃大數據平台導入
2.研究大數據開源(open source)方案及配合大數據平台開發
3.建立分散式儲存與分散式運算架構，最佳化運算效能擴充與維護問題
4.開發環境部署、資源優化與安全性管控

【加分項目】
+熟Java、Python、R尤佳
+具備大數據資料解析程式開發能力
+具備SQL/NoSQL資料庫建置與管理經驗(熟悉Spark、Mongo DB、Hadoop)


#Bigdata",==================================具以下經驗者尤佳：★ 具備一種程式語言(Java、Python、R)之撰寫經驗尤佳★ 具備大數據資料解析程式開發能力★ 具備SQL/NoSQL資料庫建置與管理經驗★ 熟Spark、Mongo DB、Hadoop, Java Python R MES工廠執行系統規劃管理 網路系統配置 網路規劃管理 自動化系統設計整合,印刷電路板製造業(PCB),1
新光人壽-數據分析襄理(資料倉儲及大數據分析平台規劃),新光金融控股股份有限公司(新光金控/新光人壽/新光銀行/新光投信),40000.0,2年以上,"新光人壽相信資訊科技是企業競爭力的重要基石，在資訊科技的投資上不遺於力，因此E化在業界長久以來都屬於領先的一群，面對數位金融3.0數位創新的時代，新光人壽更擬定短中長期計畫積極建構全方位的數位金融平台，打造創新的數位保險服務，相關計畫包含：
-電子商務平台
-數位智能客服中心
-IoT及FinTech於保險領域的應用
-全方位銷售及客戶服務的行動應用開發
-運用Big Data數據分析與資料模型，以發掘更多客戶需求與服務創新方式
-打造以使用者體驗(UX)為中心的全新數位通路

誠摯邀請對資訊科技有熱情的您一起加入我們共同學習與成長

主要工作內容：
1.資料倉儲規劃及管理維運並持續優化效能。
2.大數據分析平台規劃建置(Hadoop、SAS)",1.大學以上資訊相關科系所畢業2.3年以上資料庫或資料倉儲規劃與建置相關工作經驗，包含資料模型設計，具備程式設計與應用系統導入經驗更佳。3.具備大數據系統建置與管理(Hadoop)經驗尤佳。4.具備良好溝通能力與簡報技巧, Data Modeling Informatica Data Marts SAS,金融控股業,2
【AI 】CAA產品製造工程 大數據分析工程師 (深圳),鴻海精密工業股份有限公司,40000.0,5年以上,"1.依據產品/製程開發流程，串接產/製/品工與資訊單位，建立製程大數據資料庫
2.配合智能製造發展方向，進行製造大數據資料庫之配置/調整/維運
3.依據智能分析方案，建立數據自動收集/清理之功能與流程，搭建數據平台以協模型分析團隊開發演算法所需",1.3年以上資料庫平台建構之專案帶領經驗2.5年以上資料庫架構/設計/維運或系統平台開發經驗3.熟悉Java語言/MySQL數據庫架構/非結構化數據庫，或其他可工業應用之資料庫程式及語言4.具有較強的邏輯思維能力、良好的溝通和文檔製作能力, Java MySQL,消費性電子產品製造業,5
前端應用開發工程師_大數據分析(桃園第三研發中心),台達電子工業股份有限公司 _DELTA ELECTRONICS INC.,40000.0,2年以上,"1. 網頁前端畫面製作
2. 串接 API
3. 頁面性能優化
4. 解決各種瀏覽器的兼容性問題 

",1. 熟悉 HTML5 / CSS3 / JavaScript 2. 具備 React 現代化前端框架使用經驗3. 具備 RESTful API 介接經驗4. 熟悉使用 Chrome DevTools / Firebug 等類似功能的相關工具5. 具備使用前端自動化工具經驗（Grunt 或 Gulp 等）尤佳6. 具備技術社群活動、個人技術部落格、Github 經驗尤佳7. 具備 UI/UX 敏銳度尤佳8. 具備開發 Mobile Web 經驗尤佳, HTML JavaScript 軟體程式設計,其他電子零組件相關業,2
資料科學分析工程師_大數據分析(桃園第三研發中心),台達電子工業股份有限公司 _DELTA ELECTRONICS INC.,40000.0,2年以上,"1. 定義大數據資料分析問題
2. 運用資料統計與機器學習方法提出合適的分析方法及演算法 
3. 資料分析演算法開發與優化
4. 資料視覺化呈現
5. 跨團隊合作大數據資料分析專案",1. 具備資料分析相關實務經驗 2. 熟悉統計分析及預測模型建置3. 熟悉機器學習演算法，並具備程式撰寫能力(R或Python)，若有Java、Matlab、Scala、C / C ++經驗尤佳4. 熟悉資料結構與關聯式資料庫存取語言SQL，或懂NoSQL技術尤佳5. 具大數據機器學習相關開發框架經驗佳，如：Sciket-learn、Caffe、Theano、TensorFlow6. 具備時間序列分析、生產製造相關經驗者尤佳, Python,其他電子零組件相關業,2
Java後端應用開發工程師_大數據分析(桃園第三研發中心),台達電子工業股份有限公司 _DELTA ELECTRONICS INC.,40000.0,3年以上,"1. 負責開發大型軟體 Server Side 功能
2. 提供 API 接口給前端工程師
3. 串接資料庫
4. 包裝演算法
5. 功能測試
6. 開發文件撰寫
","1. 熟悉 JAVA , DAO 任一MVC架構如Spring, Structs22. 熟悉物件導向分析與設計要領3. 熟悉至少一種 DB 語言如 Oracle, SQL Server，或懂 NoSQL 技術尤佳4. 具備定義 Restful API 格式經驗", Java Spring MS SQL Oracle,其他電子零組件相關業,3
軟體工程師(DevOps)_大數據分析(桃園第三研發中心),台達電子工業股份有限公司 _DELTA ELECTRONICS INC.,40000.0,3年以上,"1. 確保產品服務的效能、安全性、可靠度及穩定度
2. 設計與優化佈署與維運流程
3. 滿足客戶的客製需求
4. 協助建置與維護自動化佈署系統","1. 具DevOps 相關工作經驗2. 熟悉 JAVA , DAO 任一MVC架構如Spring, Structs23. 熟悉 SOA / 微服務架構 4. 具備Maven、Git 等工具使用經驗者佳5. 具備 Linux 基本操作者佳6. 具備自動化維運經驗(Jekein,Zabbix,Ansible)7. 具備維護自動編譯、測試、部署相關系統", Linux Java Spring,其他電子零組件相關業,3
Data &amp; System Engineer「能源大數據研發中心 Energy Big-Data R&amp;D Center」,承德科技股份有限公司,40000.0,經歷不拘,"* Focus on data modeling, data preprocessing, feature engineering, data flow/architecture
* Product development of Big Data platform with system and machine knowledge
* Co-work with other engineers and battery experts to design rapid method for battery health evaluation","科系：電氣工程, 計算機工程或相關 --Must:* CS, EE or related Bachelor or Master degree.* One of Python, Java, Scala, or R* SQL * Experience on using Hadoop/Spark/Hive... to process large-scale data set --Plus:* Statistics* AI/Machine Learning",,自動控制相關業,0
UI / UX Front-end Developer 「能源大數據研發中心 Energy Big-Data R&amp;D Center」,承德科技股份有限公司,40000.0,經歷不拘,"* Design user-friendly interface for Android / iOS apps and web-based systems
* Co-work other engineers/battery experts on providing UI/UX to fulfill business requirements
* Build compelling front-end user experiences that excite and delight consumers","-- Must:* Familiar with Web front-end technologies like JavaScript, HTML5, CSS3...* Working knowledge of one of the major prototyping tools.  -- Plus:* Experience in Web UI/UX design* Experience with front-end development open source or framework* Knowledge of compatibility and restrictions in different browsers including cellphone platform",,自動控制相關業,0
【清大RAISE計畫】大數據應用分析師 (具博士學位),信義房屋仲介股份有限公司,40000.0,經歷不拘,"** RAISE計畫是由  國立清華大學 國際產學營運總中心 擔任培訓單位， (請參考 https://raisenthu.tw/)
** 本計畫由清大進行專業培訓，再至企業實務培訓。培訓期間由清大辦理勞健保 並支付訓儲金。

職務內容
1.協助資料研究，萃取並產出可供營運團隊決策使用之數據。
2.分析、詮釋使用者行為模式與偏好，進行用戶行為分析與預測。
3.大數據平台架構設計、建置，管理、維運與問題解決。
4.協助團隊建置數據處理流程 Data Pipeline、ETL及數據建模，自動化數據處理流程。
5.數據相關API開發與串接
6.從業務分析需求為出發點，主動挖掘問題並思考解決方案。
7.使用統計、數學、machine learning等方法挑戰商業活動的數據分析。

職涯規劃
身為資料科學團隊一員，將數位行銷、人力資源、以及集團各部門共同合作，培養專案管理與大數據處理、分析、洞察能力，用以提升產業應用層次、優化客戶體驗，最後成為具備多元思考與分析能力的資料科學家。

我們重視的特質及能力
具備主動學習新知的企圖心與能力，您需要具備探索數據的熱情與毅力，了解商業問題的企圖心。並能有架構的抽絲剝繭，尋找差異成因、最後建立觀察指標，讓數據驅動變革、讓成長有依有據。",1.具良好溝通能力。2.從業務分析需求為出發點，主動挖掘問題並思考解決方案。3.規劃Data Pipeline，優化數據處理與分析流程。4.數據視覺化與分析成果產出熟悉 R/Python數據分析軟體5.分析、詮釋使用者行為模式與偏好，進行用戶行為分析與預測。6.對應用分析解決商業問題有高度興趣者尤佳7.正面思考、樂於分享, R Python C++ Java MS SQL PowerBuilder,不動產經營業,0
108研發替代役-AI及大數據開發工程師【台中】,采威國際資訊股份有限公司,40000.0,經歷不拘,"1.人工智慧(含大數據分析)在智慧安全的開發及應用
2.人工智慧(含大數據分析)在智慧製造的開發及應用
3.人工智慧(含大數據分析)在智慧觀光的開發及應用
4.人工智慧(含大數據分析)在智慧健康的開發及應用
5.人工智慧(含大數據分析)在智慧教育的開發及應用
6.主管交辦事項
",1.Azure for AI Service(可進入後再學習)2.Office365 for Power BI Service(可進入後再學習), ASP.NET C# Python R MS SQL,電腦軟體服務業,0
C0162物料管理工程師/大數據系統分析師 (江蘇昆山),仁寶電腦工業股份有限公司,35000.0,1年以上,"1.能用物料書據分析,跟進生產計畫和生產訂單，確保產線正常生產
2.協調各部門，解決物料採購遇到的問題
3.數學專業 - 數據庫分析",1.供應鏈管理相關實務經驗2.熟悉SAP&ERP物料管理系統3.IT相關 -  SA（結構分析）4.會計/財務相關,,電腦及其週邊設備製造業,1
遠東新世紀/成衣事業部/大數據分析師(派駐蘇州),遠東新世紀股份有限公司,40000.0,3年以上,"1.數據探勘
2.ETL模型建立
3.決策資源分析模型建立
4.完成成衣三地決策平台",1.目標: 成為跨SBU大數據分析專案負責人2.熟POWER BI 者優佳3.擅長工具：熟Power BI Desktop、Power BI Service、Power BI Developer，具Python，R  開發能力佳4.除上述擅長工具外 ，具 R 語言能力佳, NDS/Novell Directory Services C C# Developer/ Designer 2000 Python Visual Basic .net MS SQL MySQL JavaScript Excel Outlook Word,紡織成衣業,3
(科政中心-熟悉AI人工智慧或大數據領域) 博士計畫人員(10651),財團法人國家實驗研究院,62000.0,經歷不拘,"學歷要求:具博士學位
聘用期間:依計畫期程
工作內容:
1.具備執行科技部大型研究案專案經驗或有科技部門專案企劃經驗者； 
2.熟知政府科技計畫政策規劃與管考機制流程
3.執行主管交辦

其他條件:
1.熟悉AI人工智慧或大數據領域(理工背景佳)
2.具備下列一種技術研究或發展經驗尤佳: AI人工智慧(機器學習、深度學習、自然語言處理等) 、自駕車及大數據分析
3.具英語口語溝通及書寫能力
4.具有多元思維、國際視野和創新能力
5.具獨立作業良好能力及緊急事務處理之應變能力
6.曾執行政府計畫者尤佳；
7.具備政府專案管理經驗尤佳",未填寫,,政府／民意機關,0
